政府統計コード	政府統計名	作成機関	担当部局課室名	統計の種類	提供周期	データ一覧	統計表ファイル	データベース	作成機関情報
00450026	医師・歯科医師・薬剤師統計	厚生労働省	政策統括官付参事官付保健統計室	業務統計	２年	?登録あり	〇	-	?作成機関情報
00450027	衛生行政報告例	厚生労働省	政策統括官付参事官付行政報告統計室	一般統計	年、２年	?登録あり	〇	-	?作成機関情報
00450028	伝染病統計	厚生労働省	政策統括官付参事官付保健統計室	その他	月、年	?登録あり	〇	-	?作成機関情報
00450029	母体保護統計報告(優生保護統計報告)	厚生労働省	政策統括官付参事官付行政報告統計室	その他	年	?登録あり	〇	-	?作成機関情報
00450030	地域保健事業報告(保健所運営報告)	厚生労働省	政策統括官付参事官付行政報告統計室	その他	年	?登録あり	〇	-	?作成機関情報
00450031	老人保健事業報告	厚生労働省	政策統括官付参事官付行政報告統計室	その他	年	?登録あり	〇	-	?作成機関情報
00450032	国民医療費	厚生労働省	政策統括官付参事官付保健統計室	加工統計	年	?登録あり	〇	〇	?作成機関情報
00450041	社会福祉施設等調査	厚生労働省	政策統括官付参事官付社会統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450042	介護サービス施設・事業所調査	厚生労働省	政策統括官付参事官付社会統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450043	21世紀出生児縦断調査（平成13年出生児）	厚生労働省	政策統括官付参事官付世帯統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450044	21世紀成年者縦断調査（平成14年成年者）	厚生労働省	政策統括官付参事官付世帯統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450045	中高年者縦断調査	厚生労働省	政策統括官付参事官付世帯統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450046	福祉行政報告例	厚生労働省	政策統括官付参事官付行政報告統計室	一般統計	月、年	?登録あり	〇	-	?作成機関情報
00450047	地域児童福祉事業等調査	厚生労働省	子ども家庭局総務課少子化総合対策室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450048	社会医療診療行為別統計（旧：社会医療診療行為別調査）	厚生労働省	政策統括官付参事官付社会統計室	業務統計	年	?登録あり	〇	-	?作成機関情報
00450049	介護給付費等実態統計（旧：介護給付費等実態調査）	厚生労働省	政策統括官付参事官付社会統計室	業務統計	月	?登録あり	〇	-	?作成機関情報
00450050	21世紀出生児縦断調査（平成22年出生児）	厚生労働省	政策統括官付参事官付世帯統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450051	21世紀成年者縦断調査（平成24年成年者）	厚生労働省	政策統括官付参事官付世帯統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450061	国民生活基礎調査	厚生労働省	政策統括官付参事官付世帯統計室	基幹統計	年、３年	?登録あり	〇	〇	?作成機関情報
00450062	保健福祉動向調査	厚生労働省	政策統括官付参事官付世帯統計室	その他	３年に２回	?登録あり	〇	-	?作成機関情報
00450063	介護サービス世帯調査	厚生労働省	政策統括官付参事官付世帯統計室	その他	１回限り	?登録あり	〇	-	?作成機関情報
00450071	毎月勤労統計調査	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	基幹統計	月、年	?登録あり	〇	〇	?作成機関情報
00450072	労働経済動向調査	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	四半期	?登録あり	〇	-	?作成機関情報
00450073	雇用動向調査	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	半年	?登録あり	〇	〇	?作成機関情報
00450074	雇用の構造に関する実態調査	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450075	非正規雇用に関する調査	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	その他	年	-	-	-	-
00450076	産業労働事情調査	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	その他	年	?登録あり	〇	-	?作成機関情報
00450077	雇用管理調査	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	その他	年	?登録あり	〇	-	?作成機関情報
00450078	労使関係総合調査（労働組合活動等に関する実態調査）	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	"２年又は
３年"	?登録あり	〇	-	?作成機関情報
00450079	小規模事業所勤労統計調査	厚生労働省	雇用・賃金福祉統計室	一般統計	１回限り	-	-	-	-
00450091	賃金構造基本統計調査	厚生労働省	政策統括官付参事官付賃金福祉統計室	基幹統計	年	?登録あり	〇	〇	?作成機関情報
00450092	屋外労働者職種別賃金調査	厚生労働省	政策統括官付参事官付賃金福祉統計室	その他	年	?登録あり	〇	-	?作成機関情報
00450093	労働安全衛生特別調査（労働安全衛生基本調査）	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450094	労働安全衛生調査（労働環境調査）	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450095	労働安全衛生特別調査（労働者健康状況調査）	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450096	労働安全衛生特別調査（技術革新と労働に関する実態調査）	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450097	労働安全衛生特別調査（建設業労働災害防止対策等総合実態調査）	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450098	賃金引上げ等の実態に関する調査	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450099	就労条件総合調査	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	年	?登録あり	〇	〇	?作成機関情報
00450100	労働災害動向調査	厚生労働省	政策統括官付参事官付賃金福祉統計室	一般統計	半期、年	?登録あり	〇	〇	?作成機関情報
00450101	労使関係総合調査（労働組合基礎調査）	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	年	?登録あり	〇	-	?作成機関情報
00450102	労使関係総合調査（労働組合活動実態調査）	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
00450103	労使関係総合調査（労働協約等実態調査）	厚生労働省	政策統括官付参事官付雇用・賃金福祉統計室	一般統計	５年	?登録あり	〇	-	?作成機関情報
